Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,2311,422,8012,16879,24196,202,26050,0.0,False
jmeter_view_dashboard,4660,123,90,258,327,453,57,744,0.0,False
jmeter_create_issue:open_quick_create,1697,91,64,192,241,306,48,2947,0.0,False
jmeter_edit_issue:open_editor,2117,144,100,306,364,487,75,4449,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,222,164,419,476,606,123,3088,0.0,False
jmeter_view_issue,12723,266,187,550,632,836,137,6416,0.0,False
jmeter_edit_issue:save_edit,2117,292,232,484,580,829,174,2319,0.0,False
jmeter_search_jql,5516,614,509,990,1105,1535,363,6911,0.0,False
jmeter_browse_projects,2108,85,63,176,221,308,46,411,0.0,False
jmeter_add_comment:open_comment,845,73,67,84,92,186,54,722,0.0,False
jmeter_view_project_summary,1689,156,110,359,437,581,72,849,0.0,False
jmeter_add_comment:save_comment,845,248,233,286,312,564,189,1337,0.0,False
jmeter_intento_translate,4628,2199,1926,3374,4223,6054,75,59358,0.0,True
jmeter_browse_boards,841,72,66,81,90,162,52,663,0.0,False
jmeter_view_kanban_board,1681,163,118,366,424,553,89,1292,0.0,False
jmeter_view_backlog,2098,374,291,726,826,1043,225,2419,0.0,False
jmeter_view_scrum_board,1673,189,151,383,447,574,79,1159,0.0,False
selenium_login:open_login_page,136,115,107,120,134,171,96,841,0.0,False
selenium_login:login_and_view_dashboard,136,1415,1294,1401,1457,2762,510,33900,0.0,False
selenium_login,136,1530,1402,1520,1610,2871,612,34742,0.0,False
selenium_project_summary,136,420,393,432,476,867,315,2580,0.0,False
selenium_browse_projects_list,136,278,271,303,390,444,220,497,0.0,False
selenium_browse_boards_list,136,451,250,1083,1512,1919,224,4500,0.0,False
selenium_create_issue:open_quick_create,136,667,631,681,792,1519,606,1634,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,136,1221,1216,1716,1764,1808,602,1822,0.0,False
selenium_create_issue:fill_and_submit_issue_form,136,1912,1874,2350,2412,4742,1098,5077,0.0,False
selenium_create_issue,136,2579,2526,3034,3112,5594,1728,5743,0.0,False
selenium_edit_issue:open_edit_issue_form,136,610,631,678,750,853,412,1109,0.0,False
selenium_edit_issue:save_edit_issue_form,136,596,556,748,837,968,471,975,0.0,False
selenium_edit_issue,136,1542,1492,1712,1807,1904,1358,2504,0.0,False
selenium_save_comment:open_comment_form,136,403,409,464,479,534,291,561,0.0,False
selenium_save_comment:submit_form,136,712,672,830,898,1155,591,3137,0.0,False
selenium_save_comment,136,1246,1186,1374,1534,2751,1025,3530,0.0,False
selenium_search_jql,136,1256,1248,1686,1756,2063,541,2199,0.0,False
selenium_view_scrum_board_backlog,136,1560,1616,1990,2018,2188,420,5994,0.0,False
selenium_view_scrum_board,136,1303,1379,1940,2010,2089,303,3611,0.0,False
selenium_view_kanban_board,136,1207,1202,1968,2039,2154,438,2167,0.0,False
selenium_view_dashboard,136,481,386,710,794,873,348,966,0.0,False
selenium_view_issue,136,550,532,577,594,779,440,2279,0.0,False
selenium_log_out,136,325,314,364,382,474,277,499,0.0,False
